                               train    train%  dist-to-50%    valid   valid%
                  Female   10213/33268    30.7    19.3     2488/8317    29.9
               AgeLess16     334/33268     1.0    49.0       81/8317     1.0
                Age17-30   14296/33268    43.0     7.0     3586/8317    43.1
                Age31-45   18638/33268    56.0     6.0     4650/8317    55.9
                 BodyFat    4781/33268    14.4    35.6     1246/8317    15.0
              BodyNormal   24695/33268    74.2    24.2     6181/8317    74.3
                BodyThin    3290/33268     9.9    40.1      774/8317     9.3
                Customer   31454/33268    94.5    44.5     7898/8317    95.0
                   Clerk    1626/33268     4.9    45.1      382/8317     4.6
             hs-BaldHead     140/33268     0.4    49.6       40/8317     0.5
             hs-LongHair    6348/33268    19.1    30.9     1525/8317    18.3
            hs-BlackHair   31437/33268    94.5    44.5     7851/8317    94.4
                  hs-Hat     535/33268     1.6    48.4      160/8317     1.9
              hs-Glasses    2459/33268     7.4    42.6      575/8317     6.9
              hs-Muffler     355/33268     1.1    48.9       80/8317     1.0
                ub-Shirt    7340/33268    22.1    27.9     1858/8317    22.3
              ub-Sweater    4151/33268    12.5    37.5      982/8317    11.8
                 ub-Vest    1920/33268     5.8    44.2      483/8317     5.8
               ub-TShirt    7557/33268    22.7    27.3     1960/8317    23.6
               ub-Cotton    5817/33268    17.5    32.5     1368/8317    16.4
               ub-Jacket   10496/33268    31.5    18.5     2611/8317    31.4
               ub-SuitUp     716/33268     2.2    47.8      205/8317     2.5
                ub-Tight     983/33268     3.0    47.0      277/8317     3.3
          ub-ShortSleeve     572/33268     1.7    48.3      170/8317     2.0
         lb-LongTrousers   18660/33268    56.1     6.1     4642/8317    55.8
                lb-Skirt    2174/33268     6.5    43.5      534/8317     6.4
           lb-ShortSkirt    2174/33268     6.5    43.5      534/8317     6.4
                lb-Dress    2174/33268     6.5    43.5      534/8317     6.4
                lb-Jeans    8893/33268    26.7    23.3     2266/8317    27.2
        lb-TightTrousers    4456/33268    13.4    36.6     1088/8317    13.1
           shoes-Leather   10119/33268    30.4    19.6     2459/8317    29.6
             shoes-Sport    8957/33268    26.9    23.1     2308/8317    27.8
             shoes-Boots    4162/33268    12.5    37.5      997/8317    12.0
             shoes-Cloth     415/33268     1.2    48.8      102/8317     1.2
            shoes-Casual    5202/33268    15.6    34.4     1341/8317    16.1
         attach-Backpack     626/33268     1.9    48.1      128/8317     1.5
attach-SingleShoulderBag    2100/33268     6.3    43.7      569/8317     6.8
          attach-HandBag     957/33268     2.9    47.1      212/8317     2.5
              attach-Box    1404/33268     4.2    45.8      349/8317     4.2
       attach-PlasticBag     934/33268     2.8    47.2      212/8317     2.5
         attach-PaperBag     397/33268     1.2    48.8      129/8317     1.6
        attach-HandTrunk     804/33268     2.4    47.6      215/8317     2.6
            attach-Other    9809/33268    29.5    20.5     2442/8317    29.4
          action-Calling    1142/33268     3.4    46.6      276/8317     3.3
          action-Talking    1094/33268     3.3    46.7      270/8317     3.2
        action-Gathering    3051/33268     9.2    40.8      767/8317     9.2
          action-Holding     820/33268     2.5    47.5      201/8317     2.4
           action-Pusing     342/33268     1.0    49.0       90/8317     1.1
          action-Pulling     580/33268     1.7    48.3      152/8317     1.8
       action-CarrybyArm     796/33268     2.4    47.6      179/8317     2.2
      action-CarrybyHand    4271/33268    12.8    37.2     1090/8317    13.1
               faceFront   10589/33268    31.8    18.2     2681/8317    32.2
                faceBack   11097/33268    33.4    16.6     2795/8317    33.6
                faceLeft    5715/33268    17.2    32.8     1410/8317    17.0
               faceRight    5867/33268    17.6    32.4     1431/8317    17.2
           occlusionLeft    1371/33268     4.1    45.9      334/8317     4.0
          occlusionRight     972/33268     2.9    47.1      243/8317     2.9
             occlusionUp    1983/33268     6.0    44.0      517/8317     6.2
           occlusionDown    6468/33268    19.4    30.6     1557/8317    18.7
   occlusion-Environment    4152/33268    12.5    37.5      991/8317    11.9
    occlusion-Attachment     525/33268     1.6    48.4      150/8317     1.8
        occlusion-Person     882/33268     2.7    47.3      187/8317     2.2
         occlusion-Other    3862/33268    11.6    38.4      965/8317    11.6
                up-Black   17331/33268    52.1     2.1     4349/8317    52.3
                up-White    6250/33268    18.8    31.2     1587/8317    19.1
                 up-Gray    7426/33268    22.3    27.7     1885/8317    22.7
                  up-Red    3581/33268    10.8    39.2      908/8317    10.9
                up-Green    1565/33268     4.7    45.3      386/8317     4.6
                 up-Blue    4573/33268    13.7    36.3     1140/8317    13.7
               up-Yellow    1423/33268     4.3    45.7      339/8317     4.1
                up-Brown     972/33268     2.9    47.1      225/8317     2.7
               up-Purple     579/33268     1.7    48.3      139/8317     1.7
                 up-Pink     899/33268     2.7    47.3      205/8317     2.5
               up-Orange     378/33268     1.1    48.9      107/8317     1.3
              up-Mixture    5623/33268    16.9    33.1     1383/8317    16.6
               low-Black   20276/33268    60.9    10.9     5062/8317    60.9
               low-White     868/33268     2.6    47.4      231/8317     2.8
                low-Gray    2987/33268     9.0    41.0      765/8317     9.2
                 low-Red     827/33268     2.5    47.5      194/8317     2.3
               low-Green     536/33268     1.6    48.4      135/8317     1.6
                low-Blue    9346/33268    28.1    21.9     2334/8317    28.1
              low-Yellow     639/33268     1.9    48.1      174/8317     2.1
             low-Mixture     875/33268     2.6    47.4      224/8317     2.7
             shoes-Black   19951/33268    60.0    10.0     4924/8317    59.2
             shoes-White    7561/33268    22.7    27.3     1967/8317    23.7
              shoes-Gray    3464/33268    10.4    39.6      890/8317    10.7
               shoes-Red    1445/33268     4.3    45.7      417/8317     5.0
             shoes-Green     387/33268     1.2    48.8       93/8317     1.1
              shoes-Blue    1005/33268     3.0    47.0      258/8317     3.1
            shoes-Yellow     888/33268     2.7    47.3      228/8317     2.7
             shoes-Brown    2076/33268     6.2    43.8      508/8317     6.1
           shoes-Mixture     794/33268     2.4    47.6      198/8317     2.4
